date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:43	16/16	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Oct%202025%2023:55:42%20GMT	https://www.birlassector71.com/robots.txt		(from )
08:55:43	125128/125128	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2023:55:43%20GMT	https://www.birlassector71.com/birla-estate-sector71-gurugram/	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/index.html	(from )
08:55:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2029%20Oct%202025%2023:55:43%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/duneja8515/Desktop/bhavya/webclone/www.googletagmanager.com/gtm.05445.delayed	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:44	4083/4083	---M--	200	added ('OK')	image/png	etag:%2268e36689-ff3%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/favicon.png	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/favicon.png	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:45	65122/65122	---M--	200	added ('OK')	text/css	etag:%22685682e2-fe62%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/assets/css/pure_style.css	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/assets/css/pure_style.css	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:45	36526/36526	---M--	200	added ('OK')	image/webp	etag:%2268e363f2-8eae%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/assets/img/mobl.webp	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/assets/img/mobl.webp	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:46	5232/5232	---M--	200	added ('OK')	font/woff2	etag:%226846a7a7-1470%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/assets/fonts/micon.woff2	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/assets/fonts/micon.woff2	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:47	64184/64184	---M--	200	added ('OK')	font/woff2	etag:%226846a7a7-fab8%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/assets/fonts/Roboto-Regular.woff2	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/assets/fonts/Roboto-Regular.woff2	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:47	12722/12722	---M--	200	added ('OK')	text/css	etag:%22685682c3-31b2%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/assets/css/chatv25.css	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/assets/css/chatv25.css	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:48	23599/23599	---M--	200	added ('OK')	image/svg+xml	etag:%2268e36311-5c2f%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/assets/img/logo.svg	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/assets/img/logo.svg	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:48	63596/63596	---M--	200	added ('OK')	font/woff2	etag:%226846a7a7-f86c%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/assets/fonts/Roboto-Bold.woff2	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/assets/fonts/Roboto-Bold.woff2	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:48	156064/156064	---M--	200	added ('OK')	image/webp	etag:%2268e36443-261a0%22	https://www.birlassector71.com/birla-estate-sector71-gurugram/assets/img/desktb1.webp	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/assets/img/desktb1.webp	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
08:55:49	16/16	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Oct%202025%2023:55:49%20GMT	https://www.birlassector71.com/birla-estate-sector71-gurugram/brochure.pdf	C:/Users/duneja8515/Desktop/bhavya/webclone/www.birlassector71.com/birla-estate-sector71-gurugram/brochure.pdf	(from https://www.birlassector71.com/birla-estate-sector71-gurugram/)
